#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
BollingerBands	154734.475	1125.3784693937414	152237.375	1438.535273941866	153127.4	1599.914963365241	156033.825	1403.734891058493	
EfficiencyRatio	317614.25	4938.024856913947	329442.125	4258.931193313059	600332.65	13991.359886640756	559521.95	3425.387824393028	
ExponentialMovingAverage	21738.6	2.808914381037628	21737.3	6.914477565225011	21826.275	7.017789894261586	21826.925	8.016818259134979	
FastStochastic	232885.95	472.4873516825609	230076.65	646.3461359828802	236152.325	466.08230965678155	235670.375	336.36391657697175	
Maximum	108209.025	154.54343847281257	106436.15	218.5021224153212	106941.475	275.0539935630821	107722.475	316.0306146166855	
Minimum	108909.7	171.3803080870145	106629.025	261.1952801545235	107235.725	256.13189839416725	107623.45	299.19466489227375	
MoneyFlowIndex	154645.25	533.3509046584621	144909.25	1975.0641603502404	369396.425	2536.441551539282	371102.0	10212.424981364613	
MovingAverageConvergenceDivergence	61315.3	1076.2772691086625	60483.025	600.2039439848759	61397.225	1229.1352140326142	61629.1	1259.3545926386262	
OnBalanceVolume	53245.3	211.00796193508907	51550.975	346.6160330610804	55306.9	875.9860957800643	55956.025	290.91532165735094	
RateOfChange	75079.3	744.5905653444718	75402.4	365.55545406955696	302377.5	1307.4899425999422	279056.1	753.6681895900874	
RelativeStrengthIndex	69422.475	677.1379839995686	65248.325	286.5994057478138	64221.05	248.25047331274115	64237.625	505.8011806777442	
SimpleMovingAverage	82842.4	922.4090415862153	80841.05	1280.2277912543534	81827.55	425.72772695703065	86717.6	133.43552750298548	
SlowStochastic	252059.7	323.69694159815595	252368.675	547.1665828383528	254438.775	668.3006242515414	252177.375	583.4074342815662	
StandardDeviation	106148.675	441.3075111246125	106822.525	1015.254696800266	109949.925	890.0374258282625	111510.875	39.996367022518434	
TrueRange	58556.375	890.2293998599462	60520.725	1352.2328754230905	60837.0	2103.4095535582223	60524.6	186.48174173360778	
