#	bench-name	unmod-time	nobc-time	
parse_bareword	34789.97103137023	36646.254183347366	
parse_complex_nested_list	2164867.235654353	2339765.6672515688	
parse_complex_tuple	130755.5127854308	137697.12865904803	
parse_complex_tuple_list	1285026.543338392	1387292.6311129956	
parse_int	29785.463717108305	31730.41786983446	
parse_post_partial_float	30486.047365756185	32223.099574335898	
parse_pre_partial_float	30579.036824184677	32419.782450076407	
parse_selector_symbol_head	47011.459512442845	49442.26993210997	
parse_selector_tuple_head	104316.6964852278	110817.84478630686	
parse_simple_list	302152.4145195128	324130.8497427271	
parse_simple_tuple	285246.0052842124	302969.0850561989	
parse_string	28273.300709065585	29855.04791142385	
parse_whole_float	30588.568231011635	32543.31020879484	
