#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
first_order_100	178490.45	815.2655073655452	184339.7	2904.7671868843463	279065.075	4512.734721803953	278960.125	1929.51912646001	
first_order_10k	17902564.3	78256.11648848925	18404073.15	217783.9255489888	27918085.4	454739.1435330149	27950189.475	193949.53709199562	
first_order_1k	1785009.525	8207.630930991903	1843817.175	22157.983729219926	2786926.475	45060.816295306664	2790467.85	19471.100888945646	
first_order_1k_ref	615261.525	1524.354699331819	643254.325	14445.625873231485	713015.95	5053.022763406078	695507.575	2610.4741799862722	
second_order_100	96279.025	156.27451607667837	97204.025	109.03726140636506	250898.675	830.5751136260947	251052.575	3561.8530211639836	
second_order_10k	9638092.375	19341.411827588363	9728595.325	11714.576030287011	25108497.475	87529.15048856223	25119178.625	355687.0159099631	
second_order_1k	962991.575	1730.117219836564	971858.85	885.0824693213624	2508457.875	8467.271647902588	2509758.75	35300.97358767177	
sample	21.2	0.5099019513592786	21.0	0.0	102.125	3.9191038516477206	103.825	3.961612676676002	
send	325.025	2.6314207189273238	328.575	4.587414849345979	485.275	4.685016008510535	487.025	5.057111329603096	
send_and_sample	344.1	2.9223278392404897	346.925	3.0280975875952234	505.55	4.426906369012111	508.6	4.846648326421054	
