#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
aaforest_big_random_append	23145997.2	111870.82895089318	21488536.075	32496.16427625536	22675254.925	108247.52578982752	22661686.175	26406.620879892504	
aatree_big_random_insert_delete	18567880.075	44921.11530972237	17650533.125	35147.37747129044	31515037.625	43994.535956006795	33352956.6	234767.7370705779	
btreemap_big_random_insert_delete	5422967.3	93857.87883395831	5477139.425	120118.93444288614	14008664.15	115694.47276783579	13673359.675	113846.08721413914	
dynconn_big_insert_delete	23199637.075	67992.36231680273	22445620.2	91466.86475117641	33209406.15	74885.09323441816	33745896.325	226014.16754513283	
dynconn_big_insert_delete_ext_weight	28315753.925	90046.67451893698	27267894.325	73932.73840200546	38559291.175	113091.75540217057	39200153.925	78883.53310463075	
hashmap_big_random_insert_delete	925131.5	14412.677051817958	932424.05	33629.02362019302	7017929.225	109397.35188716577	6749447.8	71729.19765555726	
waaforest_big_random_append	37941826.1	86608.55180459953	35507087.95	67154.10775445908	36990474.225	109737.80456011673	37731300.15	195930.44898452485	
waaforest_big_random_append_bitboard_weight	43487183.2	296299.3031930045	41542251.4	627190.0014790493	42005042.725	336407.5764124514	42207269.475	333462.4873179881	
waaforest_big_random_append_combined_weight	42278116.725	324792.2684031278	40545249.425	349559.18248337344	41237488.55	313052.83590313874	41507518.625	329528.68207340373	
waaforest_big_random_append_empty_weight	38775081.25	66705.47900088492	37202334.525	48368.954493035875	38137636.475	67361.84185500999	38072937.475	95441.0407408646	
waaforest_big_random_append_usize_2_weight	41267355.625	199378.5700846116	39149129.925	461653.90025539626	39821939.3	487708.9631240746	39420431.275	213793.7112908127	
waaforest_big_random_append_usize_bool_weight	40459481.075	111370.04068832594	37645355.975	69910.47927402855	38995186.85	173378.96170766366	39023137.625	142345.9175820802	
