#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
read_single_image	93760392.375	1407692.0630110956	95409726.025	1790062.1062782079	120665370.95	1601375.1490948326	114968496.175	1674409.8536098604	
read_single_image_from_buffer	89304223.6	594579.6368014885	90617168.075	583811.0282449872	135072049.55	204816.9515180506	124180563.475	290542.7241701285	
read_single_image_non_parallel_zips	288246148.8	410926.4160886472	256834791.7	455447.54596046516	467782961.575	969871.9958069696	505375228.625	601286.8185911233	
read_single_image_rle	39538862.65	1147263.76834849	40127644.875	1048456.4243554233	66789566.4	1173926.5047112787	64740813.775	1017878.0475956213	
read_single_image_uncompressed	23755085.05	1647208.23721843	24469436.4	1672337.3507584054	46402157.975	1652592.1410078392	46389571.925	1691027.3457197016	
read_single_image_uncompressed_from_buffer	18357527.75	101335.89818093833	18369996.25	94265.13119540809	55341639.875	89885.63916087695	58433384.275	273993.0112763816	
read_single_image_zips	288850634.725	486237.26271003677	257403550.425	445505.77587697376	468315421.1	878544.8896098537	505941275.8	580267.2505136405	
read_full	34316980.55	1419761.2511782032	35434003.65	1767284.599791408	62100584.625	1748647.0731816594	61675698.1	1717699.3010149475	
read_rgba	85718401.45	1303449.5116183048	94850162.3	1641082.7519655155	121040502.3	20603583.21259862	114833174.2	1693865.5764233214	
read_simple	34427421.65	1407785.5547494714	35607122.825	1772528.5611174775	58469852.2	1725453.9781987986	58594425.55	1722165.63201026	
write_single_image	155798271.55	479640.8646761111	131465238.4	217203.5121160337	241831465.15	453347.33160318434	286879653.475	470824.0584815621	
write_single_image_parallel	45689299.125	634383.3320630038	45709740.325	496992.14985834475	100220047.525	872349.4568424397	81908873.95	959734.4371844471	
write_single_image_uncompressed	30659244.25	748722.5150608786	30769727.1	617368.9262679893	55179598.05	533171.3136723951	51364913.45	509032.0281640414	
