#	bench-name	unmod-time	nobc-time	
BollingerBands	151957.01703188848	151345.45605452455	
EfficiencyRatio	316546.45293510053	312448.6168286612	
ExponentialMovingAverage	21737.522239394817	23143.688063493868	
FastStochastic	237043.20692955732	236004.73096079932	
Maximum	111065.87027595376	110284.39742082343	
Minimum	111373.56946211078	108871.58978357544	
MoneyFlowIndex	147838.5999970748	143333.5926700151	
MovingAverageConvergenceDivergence	60752.287632580694	61486.809886140174	
OnBalanceVolume	55470.11983268426	55626.05754567594	
RateOfChange	76136.2596336823	72800.78614585237	
RelativeStrengthIndex	65738.73647161282	71708.36501700703	
SimpleMovingAverage	83040.83058582433	80862.81079654065	
SlowStochastic	256956.83827543224	259974.99167943484	
StandardDeviation	106779.38682371007	111806.52012231242	
TrueRange	60107.64467882249	59119.37693457272	
