#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=36	
bench_call_on_min_max_i16	241.30555555555557	4.228339866270374	223.1388888888889	0.6730023021992065	
bench_call_on_min_max_i32	440.74999999999994	9.589852854855376	413.63888888888897	3.433113081752299	
bench_call_on_min_max_i64	744.0833333333334	6.58016801541656	707.8055555555557	6.9074012014667785	
bench_call_on_min_max_i8	151.44444444444446	2.852332811776319	145.16666666666666	2.5	
bench_call_on_min_max_isize	744.1388888888888	5.613242169577308	710.1388888888886	5.750134190597341	
bench_call_on_min_max_u16	143.2777777777778	1.609194261995582	137.41666666666666	5.827973728301954	
bench_call_on_min_max_u32	237.02777777777777	3.7821665683331935	223.72222222222223	6.397096177655361	
bench_call_on_min_max_u64	374.13888888888886	5.841198401478253	353.5555555555556	9.322745317068014	
bench_call_on_min_max_u8	102.33333333333333	2.121320343559643	99.3611111111111	1.4748404391620316	
bench_call_on_min_max_usize	374.4722222222223	5.761395042826535	353.44444444444457	10.01233806761672	
bench_call_on_range_i8	19165.055555555555	305.47094283021465	18433.888888888887	234.37585884616306	
bench_call_on_range_u8	19418.750000000007	252.96172031444686	18552.02777777778	376.9631934664114	
