#	bench-name	unmod-time	nobc-time	
crc12_construct	387.07567080150994	386.86062651472014	
crc12_update_megabytes	9053006.019414885	9873068.779049406	
crc16_construct	2344.8074049849324	2345.7840892130316	
crc16_update_megabytes	3060526.0677247434	2678322.4840548015	
crc32_construct	2086.8557004606173	2095.2125094212715	
crc32_update_megabytes	2798344.2652581194	2341204.253734222	
crc64_construct	15957.988886644425	15969.44384418211	
crc64_update_megabytes	3010097.8816034663	3041374.7335273023	
crc8_construct	1650.4255446611114	2827.1339054851755	
crc8_update_megabytes	2341651.549726634	2341616.4986167746	
