#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	totalruns=36	
bench_exp_mod_circuit_base	588643.3611111111	27161.22511570981	580449.1111111112	21669.157486028867	
bench_exp_mod_circuit_rec	1581259.8888888888	24610.3582909692	1553549.4444444447	24565.223574128395	
bench_cidentity	30368.44444444444	366.11234193015156	30164.63888888888	553.4499953713462	
bench_cidentity_giant	3007932.194444445	1402637.3904952893	2533225.277777778	815721.8756221596	
bench_hadamard	37327.74999999999	3161.6401455134364	36323.555555555555	3461.5209521927113	
bench_hadamard_larger	224314.2222222222	16899.429707851603	225486.72222222222	20375.286595954523	
bench_identity	34986.83333333332	3790.117445409838	33879.41666666668	3501.717541872211	
bench_identity_deep_single_amp	1965683.3055555557	4807.7359410493855	1973999.222222222	3116.6159096678984	
bench_apply_many_swaps_large	748153.2777777779	26709.17634198561	750822.6388888888	26085.97317009105	
bench_apply_many_swaps_large_multiops	127997.94444444444	1566.1497186916788	127767.27777777777	1197.9460804762439	
bench_apply_many_swaps_small	179052.83333333328	2611.5639896855337	179171.5833333333	2048.1451144199286	
bench_apply_many_swaps_small_multiops	43856.61111111111	508.0075063847087	43627.99999999999	451.3675516324436	
bench_apply_two_swaps_large	541797.611111111	4656.454709312284	534368.2777777778	3866.901821952205	
bench_apply_two_swaps_large_multiops	865567.5277777776	5901.572288081424	862848.7222222219	2479.7017586250963	
bench_apply_two_swaps_small	52223.3888888889	861.8201758093732	51979.027777777774	749.1255081801532	
bench_apply_two_swaps_small_multiops	29584.416666666668	395.9185083799163	29540.000000000004	341.2839319719319	
bench_cidentity	27406.02777777778	421.3883459675694	27245.138888888894	369.0067865062299	
bench_cidentity_giant	387468.72222222225	3961.87352293437	399796.77777777775	3985.4607436915207	
bench_cidentity_giant_halfprec	391478.5833333334	3580.234864851746	385237.6666666667	3767.081230873579	
bench_cidentity_larger	60251.277777777774	2404.8481427121696	60054.91666666667	2138.066356092709	
bench_hadamard	31324.666666666668	3121.2422206551037	30496.77777777778	2952.693423066012	
bench_hadamard_larger	293531.5	10284.199421928768	292942.1666666666	10924.56774761465	
bench_identity	27179.63888888889	376.1097027300072	27105.555555555562	392.096391524984	
bench_identity_larger	226620.22222222222	8633.529518720443	229938.9444444444	9625.568946949013	
bench_identity_larger_sparse	100031.88888888889	1383.5371491976196	99460.69444444441	1668.0778329070267	
bench_identity_sparse	29083.944444444445	354.6233482665834	29127.16666666667	296.5999456806723	
