#	bench-name	unmod-time	nobc-time	
bench_drop_formatted_output_multi_thread	1429.858220628834	1512.4486006025006	
bench_drop_formatted_output_single_thread	1037.6828958454794	1121.4187538583806	
bench_drop_formatted_output_sub_other_multi_thread	1389.9838571264095	1479.1720003872924	
bench_drop_formatted_output_sub_other_single_thread	1108.528771387946	1197.232938484524	
bench_drop_formatted_output_sub_this_file_multi_thread	1429.7869681178172	1507.84903546897	
bench_drop_formatted_output_sub_this_file_single_thread	1150.468169643358	1218.4922170476166	
bench_drop_formatted_output_sub_this_file_with_lines_multi_thread	1424.1108398317656	1511.6134584899428	
bench_drop_formatted_output_sub_this_file_with_lines_single_thread	1134.997668695743	1218.5033941922022	
bench_drop_formatted_output_sub_this_module_multi_thread	1429.1980505182748	1507.9055365584054	
bench_drop_formatted_output_sub_this_module_single_thread	1136.6581492871667	1220.5911778701734	
bench_drop_output_multi_thread	172.94520238250362	173.13838317935046	
bench_drop_output_single_thread	65.1635126373899	65.23528582267751	
bench_drop_output_sub_other_multi_thread	246.30726049784454	245.73457209968345	
bench_drop_output_sub_other_single_thread	135.95855766463052	137.1841662945065	
bench_drop_output_sub_this_file_multi_thread	265.9187048144347	267.91607418044225	
bench_drop_output_sub_this_file_single_thread	151.58512299960208	153.67571167962467	
bench_drop_output_sub_this_file_with_lines_multi_thread	270.85572291862155	272.3580509198085	
bench_drop_output_sub_this_file_with_lines_single_thread	156.92519365910653	155.69747670384163	
bench_drop_output_sub_this_module_multi_thread	279.2739200638206	289.04234108264023	
bench_drop_output_sub_this_module_single_thread	154.15889885814684	155.076211458066	
bench_no_output_multi_thread	1.0	1.0	
bench_no_output_single_thread	1.0	1.0	
bench_no_output_sub_other_multi_thread	93.74573349616597	94.03666021683335	
bench_no_output_sub_other_single_thread	84.338496177934	84.4221565331361	
bench_no_output_sub_this_file_multi_thread	113.40765114580635	112.47942348913759	
bench_no_output_sub_this_file_single_thread	101.20882199759893	102.36174712564745	
bench_no_output_sub_this_file_with_lines_multi_thread	117.65344549764028	118.46788898498112	
bench_no_output_sub_this_file_with_lines_single_thread	105.48877908715589	106.29108126150736	
bench_no_output_sub_this_module_multi_thread	116.2361507870547	115.51681023938775	
bench_no_output_sub_this_module_single_thread	104.58182983418705	104.04977526783217	
bench_stub	9.99999999999989e-101	9.99999999999989e-101	
